deskripsi,kategori
profit trading crypto,Investasi
denda telat bayar,Lainnya
fotocopy berkas,Lainnya
skincare soco,Belanja
uang kas rt,Lainnya
jual sbn,Investasi
profit trading crypto,Investasi
pencairan reksadana,Investasi
isi bensin pertamax,Transportasi
reward,Bonus
jual sbn,Investasi
langganan spotify,Hiburan
isi bensin pertamax,Transportasi
sabun mandi,Belanja
gaji bulanan mei,Gaji
bunga deposito,Investasi
sabun mandi,Belanja
bayar parkir mall,Transportasi
beli tiket kereta,Transportasi
beli game steam,Hiburan
transfer gaji pt jan,Gaji
biaya admin bank,Lainnya
penerimaan gaji apr,Gaji
makan siang warteg,Makanan & Minuman
jual sbn,Investasi
nonton bioskop xxi,Hiburan
beli cemilan minimarket,Makanan & Minuman
pencairan reksadana,Investasi
bayar listrik pln,Tagihan
tagihan air pdam,Tagihan
penerimaan gaji apr,Gaji
insentif pencapaian,Bonus
belanja bulanan indomaret,Belanja
sabun mandi,Belanja
fotocopy berkas,Lainnya
sumbangan mesjid,Lainnya
bunga deposito,Investasi
topup flazz mrt,Transportasi
transfer gaji pt jan,Gaji
dividen saham,Investasi
insentif pencapaian,Bonus
gofood sate,Makanan & Minuman
insentif pencapaian,Bonus
sabun mandi,Belanja
bayar parkir mall,Transportasi
transfer gaji pt apr,Gaji
profit trading crypto,Investasi
beli nasi padang,Makanan & Minuman
transfer gaji pt mar,Gaji
pencairan reksadana,Investasi
kasih pengemis,Lainnya
pencairan reksadana,Investasi
pencairan reksadana,Investasi
isi bensin pertamax,Transportasi
bayar parkir mall,Transportasi
beli tiket kereta,Transportasi
nonton bioskop xxi,Hiburan
denda telat bayar,Lainnya
bonus akhir tahun,Bonus
bonus proyek,Bonus
langganan netflix,Tagihan
uang kas rt,Lainnya
beli jaket,Belanja
cicilan motor,Tagihan
gaji masuk mei,Gaji
penerimaan gaji mar,Gaji
beli token listrik,Tagihan
reward,Bonus
langganan spotify,Hiburan
beli tiket konser,Hiburan
dividen saham,Investasi
beli cemilan minimarket,Makanan & Minuman
biaya admin bank,Lainnya
uang kas rt,Lainnya
biaya admin bank,Lainnya
bonus proyek,Bonus
jual sbn,Investasi
belanja bulanan indomaret,Belanja
denda telat bayar,Lainnya
penerimaan gaji jan,Gaji
insentif pencapaian,Bonus
profit trading crypto,Investasi
reward,Bonus
jual sbn,Investasi
fotocopy berkas,Lainnya
kopi janji jiwa,Makanan & Minuman
bonus akhir tahun,Bonus
cicilan motor,Tagihan
uang kas rt,Lainnya
payroll bulan mei,Gaji
beli tiket konser,Hiburan
nongkrong cafe,Makanan & Minuman
makan siang warteg,Makanan & Minuman
payroll bulan mei,Gaji
kopi janji jiwa,Makanan & Minuman
transfer gaji pt jan,Gaji
profit trading crypto,Investasi
bayar parkir mall,Transportasi
gaji masuk jan,Gaji
