,Tanggal,Produk,Kategori,Jumlah,Harga_Satuan,Total_Penjualan
10001,2024-10-19,Non-Fiksi Ipsum,Buku,2.0,Rp36.294,Rp72.588
10002,2025-08-30,Beras Nemo,Kebutuhan Pokok,1.0,Rp42.165,Rp42.165
10003,2023-11-04,Juicer Odio,Peralatan Dapur,4.0,Rp64.876,Rp259.504
10004,2025-05-23,Minyak Goreng Doloribus,Kebutuhan Pokok,5.0,Rp37.320,Rp186.600
10005,2025-01-19,Pakaian Anak Quo,Pakaian,1.0,Rp50.037,Rp50.037
10006,2025-04-06,Kursi Assumenda,Furnitur,5.0,Rp40.287,Rp201.435
10007,2023-10-13,Aksesori Minima,Pakaian,2.0,Rp3.636,Rp7.272
10008,2025-08-17,Biografi Vel,Buku,1.0,Rp15.885,Rp15.885
10009,2025-03-07,Rempah-rempah Expedita,Kebutuhan Pokok,1.0,Rp40.834,Rp40.834
10010,2024-12-02,Juicer Voluptatibus,Peralatan Dapur,2.0,Rp16.686,Rp33.372
10011,2025-08-24,Set Peralatan Masak Doloremque,Peralatan Dapur,2.0,Rp10.761,Rp21.522
10012,2024-05-21,Parfum Itaque,Kecantikan,3.0,Rp27.066,Rp81.198
10013,2024-12-05,Vas Bunga Ratione,Dekorasi Rumah,1.0,Rp53.951,Rp53.951
10014,2023-12-03,Pakaian Wanita Optio,Pakaian,5.0,Rp23.843,Rp119.215
10015,2025-07-25,Juicer Debitis,Peralatan Dapur,2.0,Rp15.444,Rp30.888
10016,2023-10-13,Laptop Numquam,Elektronik,5.0,Rp51.645,Rp258.225
10017,2024-05-24,Jam Tangan Pintar Ad,Elektronik,3.0,Rp52.691,Rp158.073
10018,2025-09-07,Minyak Goreng Odio,Kebutuhan Pokok,4.0,Rp3.775,Rp15.100
10019,2024-06-15,Dumbel Soluta,Hiburan,3.0,Rp16.579,Rp49.737
10020,2024-01-11,Buku Pelajaran Inventore,Buku,5.0,Rp36.393,Rp181.965
10021,2023-10-15,Kulkas Commodi,Peralatan Dapur,1.0,Rp6.574,Rp6.574
10022,2024-03-16,Tepung Terigu Natus,Kebutuhan Pokok,5.0,Rp26.762,Rp133.810
10023,2023-11-02,Komik Aperiam,Buku,1.0,Rp47.699,Rp47.699
10024,2025-07-10,Krim Wajah Repellat,Kecantikan,1.0,Rp28.257,Rp28.257
10025,2025-06-21,Headphone Itaque,Elektronik,5.0,Rp24.056,Rp120.280
10026,2024-01-13,Beras Impedit,Kebutuhan Pokok,2.0,Rp65.756,Rp131.512
10027,2025-04-22,Foundation Illo,Kecantikan,1.0,Rp8.276,Rp8.276
10028,2024-12-12,Meja Error,Furnitur,3.0,Rp731,Rp2.193
10029,2025-08-27,Mobil Remote Amet,Hiburan,2.0,Rp67.085,Rp134.170
10030,2024-04-22,Gula Pasir Excepturi,Kebutuhan Pokok,5.0,Rp79.453,Rp397.265
